Row	BRCA_H_TCGA_BH_A1FR_11B_42R_A13Q_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07	BRCA_H_TCGA_BH_A0DD_11A_23R_A12P_07	BRCA_H_TCGA_A7_A13E_11A_61R_A12P_07	BRCA_H_TCGA_AC_A2FF_11A_13R_A17B_07	BRCA_H_TCGA_E2_A1LB_11A_22R_A144_07	BRCA_H_TCGA_BH_A1FN_11A_34R_A13Q_07	BRCA_H_TCGA_BH_A0DL_11A_13R_A115_07	BRCA_H_TCGA_E9_A1RD_11A_33R_A157_07	BRCA_H_TCGA_A7_A0DB_11A_33R_A089_07_1
NUP98	18.4628719854085	12.8545241234338	14.8752727012271	16.6311301862838	21.1722208459582	21.0754688328407	18.9711702690117	19.9650011229376	15.7564324681186	12.8545241234338
NUPL1	12.2216714686199	6.32259710560386	5.75068165696739	7.44969338586135	10.6721756792605	13.1498078959717	10.5615494510771	11.5223264638441	7.13928364115416	6.32259710560386
NUPL2	12.6128925496353	7.19715882963327	6.46752413976053	8.4593190847295	12.3807905916543	14.3102222904328	13.8949774113771	12.0933235854379	8.46434417153272	7.19715882963327
NUPR1	107.968507819343	120.136836483556	169.655409918655	88.2140003604513	108.566543865044	165.900926507091	50.410608963808	108.238482483136	125.727209402154	120.136836483556
NUS1	10.6439862180805	6.20924365884558	5.10237591670807	6.11608113663701	8.24260002091013	8.89508898005067	12.1718970458867	8.57194877600988	6.64902678801108	6.20924365884558
NUSAP1	3.80433964265603	7.35214989458069	1.45122860536463	1.65311510403483	9.47268192411449	4.80543328178654	4.73280210116793	3.19768312234298	1.47105919595599	7.35214989458069
NUTF2	48.6168986436933	47.3766076820453	35.3979099372021	54.9188971606936	73.8849996485154	52.1464651641377	76.8690742572326	51.9296992217853	44.819155683562	47.3766076820453
NVL	8.75645673959865	5.14461814693499	4.20390026111357	6.12604291036578	9.67241102124894	9.83613109413455	8.95853950867615	7.93800183953333	7.31946913751257	5.14461814693499
NWD1	0.807329473502123	0.0361224006112459	0.0275494314037658	0.336867104576735	0.453025174069907	0.427851097175443	0.35205679772146	0.720600992375171	0.222102607950244	0.0361224006112459
NXF1	29.6536976185967	16.0763446566516	17.7478924402394	15.0307601712888	25.0820700096246	28.3480843918272	24.1053443686106	27.1903133149014	19.8633140273555	16.0763446566516
NXF2	0	0	0	0	0	0	0	0	0	0
NXF2B	0	0	0	0	0	0	0	0	0	0
NXF3	0.328437976537481	0.922947986066231	0.161662098791491	0.324722363888233	0.0526480606107714	0.0113557896052849	0.185256915354862	0.118313070218314	0.173182022877236	0.922947986066231
NXF4	0.014347394318546	0	0	0	0.0078852459875449	0	0.00404635609264021	0.0132900573837407	0	0
NXF5	0.0503063341043103	0.0558025688395116	0.00928557460020235	0.0552635772145168	0.00691201848811222	0	0.00709387840683528	0.0465989887897406	0.0622784843792702	0.0558025688395116
NXN	12.8127379961071	5.97260919750907	6.76673530043442	8.03991024249814	17.5040523151215	18.5957513141731	18.39109683649	14.0441329402289	8.39845837549686	5.97260919750907
NXNL1	0.114241917316176	0.709651346810141	1.07542907060185	1.63149278723826	0.0784833817317588	0.21329624638561	0.0483289998069197	0.194008491873879	1.17858144998215	0.709651346810141
NXNL2	1.09777371222286	0.0988287458441117	0.0469861468113307	0.699101203781188	0.550866670991844	0.554483002874003	0.314089082589756	0.717214661202913	0.323890571726792	0.0988287458441117
NXPH1	0.488295220024806	0.00787845922266846	0	0.52275825035908	0.00975870052891982	0.125240247221586	0.00500772929643764	0.0548254678103646	0.351710331503061	0.00787845922266846
NXPH2	0.0202600900240406	0	0	0.0445130844595054	0.0835112233739496	0.00840594582109957	0.00571389737300561	0.0187670146258682	0.00557370810720725	0
NXPH3	2.18598781123942	1.50048604808503	2.75546415808144	1.71587036809897	1.77643854984893	1.44572578271822	0.806202926173932	1.65567975335229	2.61626967291619	1.50048604808503
NXPH4	1.35127163619322	0.395455854252689	0.360860900261079	0.517970437346971	1.20088275089694	0.882717503519458	0.210818741212446	0.470493079164411	0.181917923144325	0.395455854252689
NXT1	13.303097965293	6.75761615015934	7.28506114672097	8.24301029031313	14.9926445782656	13.4856355518446	22.0788677578083	11.5270128867642	7.42176409161663	6.75761615015934
NXT2	7.06466470211185	5.95109750225252	4.3122383760999	5.00227417645538	8.04410737459336	9.41012475681501	9.66623447700368	6.86259401090861	5.54198720604418	5.95109750225252
NYAP1	0.651762739673129	0.38558468678159	0.908954292196295	0.509147148690684	0.286564063898099	0.703085420925926	0.383968797497925	0.621619145906072	0.358609982658629	0.38558468678159
NYAP2	0.0112997451985934	0.00501372099987245	0.00417142806658328	0.0198611758111257	0.189413400756369	0.00937656701612849	0.00956050802280677	0.00697800398579848	0.00621729531784338	0.00501372099987245
NYNRIN	7.01710293758702	10.1781982153768	11.3340997574069	7.35614271107604	7.00747419360683	8.43842698631894	7.19556906802427	7.47425756822493	7.60742700119555	10.1781982153768
NYX	0.00986417467887865	0	0	0	0.00542129407473846	0.00818532571396534	0.00556393201783733	0.0121829738664188	0	0
O3FAR1	0.53243050706485	2.40650373029191	3.32829258534546	4.24245154268311	0.475996446466866	0.347559281910451	0.904963718621988	1.80618173795015	2.38267248294959	2.40650373029191
OAF	52.9660991528602	59.7941967164273	42.2937776035251	52.3133450943727	56.7041505710992	28.1876373553246	50.8272959014857	39.3912447342247	38.637351701364	59.7941967164273
OAS1	19.2052207817632	26.3567456254833	12.2736248882162	13.3146267072277	16.6602581371459	21.6815080388325	23.3644107603516	17.0692712883378	11.3704766293636	26.3567456254833
OAS2	10.7195548449455	6.82294363806764	7.5047973688349	7.11170303830256	11.0920160107087	8.42769308893953	11.6992164490726	13.4081684870092	8.20178059771141	6.82294363806764
OAS3	11.8218404877263	8.8620979933282	10.0573716082652	6.00805063799411	13.3665003608359	16.3821444799555	10.6920151380094	17.3460417142132	9.20241328391757	8.8620979933282
